dist,id_pan,world_index,world_index_suiv
80.18616542563873,0,381,382
2.2633337535137916,0,382,383
3.36887009964054,0,383,384
0.7069532525005625,0,384,385
4.782118609305714,0,385,386
3.970660653966913,0,386,387
0.0,0,387,387
2.4020172571255194,0,387,388
5.067244780229299,0,388,389
216.14145855214446,0,389,390
4.432624078246577,0,390,391
9.325253182623133,0,391,392
3.0984523102212256,0,392,393
3.3918825719610153,0,393,394
0.8978657003915536,0,394,395
1.228173556191583,0,395,396
8.050633141634826,0,396,397
0.0,0,397,397
32.0566977219652,0,397,398
2.442034400677001,0,398,399
8.340631520404347,0,399,400
5.902904020220298,0,400,401
2.6984912912661794,0,401,402
4.646344960528809,0,402,403
0.0,0,403,403
47.04488385497538,0,403,404
5.733067269931592,0,404,405
4.039628607673417,0,405,406
3.4454911367356402,0,406,407
0.0,0,407,407
37.86603208728175,0,407,408
2.115116365312431,0,408,409
0.3405168312429385,0,409,410
1.5415114517440405,0,410,411
2.2470053191940242,0,411,412
4.101802046300683,0,412,413
4.433324043343471,0,413,414
48.82872396356582,1,435,436
2.5169622470649036,1,436,437
4.446371023410326,1,437,438
3.900165889108209,1,438,439
5.811501415746802,1,439,440
0.8757649580372694,1,440,441
0.0,1,441,441
9.599841039064675,1,441,442
2.778515568719535,1,442,443
2.5436571358207165,1,443,444
307.9982082061765,1,444,445
4.185089336817181,1,445,446
2.195012008323935,1,446,447
1.3186425244757032,1,447,448
0.0,1,448,448
39.134185247634626,1,448,449
1.7362064135888529,1,449,450
2.962612400889594,1,450,451
1.812448363722412,1,451,452
0.0,1,452,452
54.75277015341945,1,452,453
3.109699826658152,1,453,454
4.024549717775189,1,454,455
0.0,1,455,455
98.99230572428378,1,455,456
9.105758423769224,1,456,457
6.765856574756834,1,457,458
1.0427439503649125,1,458,459
5.901111687868823,1,459,460
4.273060238148938,1,460,461
289.6868096106177,1,461,463
3.018988245098238,1,463,464
4.942744027579918,1,464,465
1.148389744582924,1,465,466
0.24878111587945423,1,466,467
4.500570107928613,1,467,468
46.23992359025913,1,468,469
4.924357367304683,1,469,470
0.38972568159110604,1,470,471
5.080042052854551,1,471,472
2.3218132724096123,1,472,473
